
     Value of States and Choice Probabilities
     Fixed Group Index(f): 0. Random Group Index(r): 0
     ------------------------------------------------------------------------------
    Indx   T   A   m sch   t     r     f       EV      |Choice Probabilities:                           
     994   1   1   4   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     993   1   1   3   3  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     992   1   1   2   3  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
     991   1   1   1   3  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
     990   1   1   0   3  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
     989   1   1   9   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     988   1   1   8   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     987   1   1   7   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     986   1   1   6   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     985   1   1   5   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     984   1   1   4   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     983   1   1   3   2  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     982   1   1   2   2  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
     981   1   1   1   2  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
     980   1   1   0   2  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
     979   1   1   9   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     978   1   1   8   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     977   1   1   7   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     976   1   1   6   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     975   1   1   5   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     974   1   1   4   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     973   1   1   3   1  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     972   1   1   2   1  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
     971   1   1   1   1  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
     970   1   1   0   1  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
     969   1   1   9   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     968   1   1   8   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     967   1   1   7   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     966   1   1   6   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     965   1   1   5   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     964   1   1   4   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     963   1   1   3   0  12     0     0       5.705000 1.000000 0.000000 0.000000 0.000000
     962   1   1   2   0  12     0     0      10.257829 0.821763 0.178237 0.000000 0.000000
     961   1   1   1   0  12     0     0      37.725670 0.733333 0.266667 0.000000 0.000000
     960   1   1   0   0  12     0     0      36.436025 0.000003 0.999997 0.000000 0.000000
     954   1   1   4   7  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     953   1   1   3   7  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     952   1   1   2   7  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     951   1   1   1   7  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     950   1   1   0   7  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     945   1   1   5   6  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     944   1   1   4   6  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     943   1   1   3   6  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     942   1   1   2   6  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     941   1   1   1   6  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     940   1   1   0   6  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     936   1   1   6   5  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     935   1   1   5   5  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     934   1   1   4   5  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     933   1   1   3   5  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     932   1   1   2   5  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     931   1   1   1   5  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     930   1   1   0   5  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     927   1   1   7   4  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     926   1   1   6   4  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     925   1   1   5   4  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     924   1   1   4   4  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     923   1   1   3   4  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     922   1   1   2   4  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     921   1   1   1   4  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     920   1   1   0   4  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     918   1   1   8   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     917   1   1   7   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     916   1   1   6   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     915   1   1   5   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     914   1   1   4   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     913   1   1   3   3  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     912   1   1   2   3  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     911   1   1   1   3  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     910   1   1   0   3  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     909   1   1   9   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     908   1   1   8   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     907   1   1   7   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     906   1   1   6   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     905   1   1   5   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     904   1   1   4   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     903   1   1   3   2  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     902   1   1   2   2  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     901   1   1   1   2  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     900   1   1   0   2  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     899   1   1   9   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     898   1   1   8   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     897   1   1   7   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     896   1   1   6   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     895   1   1   5   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     894   1   1   4   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     893   1   1   3   1  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
     892   1   1   2   1  11     0     0      12.858301 0.866631 0.133369 0.000000 0.000000
     891   1   1   1   1  11     0     0      44.082582 0.800000 0.200000 0.000000 0.000000
     890   1   1   0   1  11     0     0      43.722459 0.226933 0.773067 0.000000 0.000000
     889   1   1   9   0  11     0     0       7.419750 1.000000 0.000000 0.000000 0.000000
